territory_id,territory_description
01581,Westboro
01730,Bedford
01833,Georgetow
02116,Boston
02139,Cambridge
02184,Braintree
02903,Providence
03049,Hollis
03801,Portsmouth
06897,Wilton
07960,Morristown
08837,Edison
10019,New York
10038,New York
11747,Mellvile
14450,Fairport
19428,Philadelphia
19713,Neward
20852,Rockville
27403,Greensboro
27511,Cary
29202,Columbia
30346,Atlanta
31406,Savannah
32859,Orlando
33607,Tampa
40222,Louisville
44122,Beachwood
45839,Findlay
48075,Southfield
48084,Troy
48304,Bloomfield Hills
53404,Racine
55113,Roseville
55439,Minneapolis
60179,Hoffman Estates
60601,Chicago
72716,Bentonville
75234,Dallas
78759,Austin
80202,Denver
80909,Colorado Springs
85014,Phoenix
85251,Scottsdale
90405,Santa Monica
94025,Menlo Park
94105,San Francisco
95008,Campbell
95054,Santa Clara
95060,Santa Cruz
98004,Bellevue
98052,Redmond
98104,Seattle
